# chimera	E	m
11223223	78	47
11223231	76	75
11223232	92	57
11223233	76	75
11223311	73	93
11223312	106	99
11223313	91	81
11223321	94	90
11223322	95	72
11223323	105	86
11223331	72	70
11223332	98	76
11223333	74	58
11231111	81	42
11231112	114	60
11231113	99	54
11231121	124	69
11231122	125	87
11231123	135	81
11231131	103	65
11231132	129	83
11231133	105	77
11231211	94	92
11231212	117	76
11231213	110	94
11231221	92	67
11231222	83	49
11231223	101	67
11231231	99	95
11231232	115	77
11231233	99	93
11231311	81	85
11231312	114	91
11231313	99	73
11231321	104	90
11231322	105	92
11231323	115	78
11231331	82	62
11231332	108	68
11231333	84	50
11232111	80	53
11232112	113	71
11232113	98	65
11232121	121	80
11232122	122	88
11232123	132	92
11232131	100	76
11232132	126	94
11232133	102	88
11232211	80	83
11232212	103	65
11232213	96	83
11232221	76	56
11232222	67	38
11232223	85	56
11232231	83	84
11232232	99	66
11232233	83	84
11232311	75	84
11232312	108	90
11232313	93	72
11232321	96	89
11232322	97	81
11232323	107	77
11232331	74	61
11232332	100	67
11232333	76	49
11233111	65	55
11233112	98	73
11233113	83	67
11233121	106	82
11233122	107	100
11233123	117	94
11233131	85	78
11233132	111	96
11233133	87	81
11233211	72	95
11233212	95	77
11233213	88	95
11233221	68	68
11233222	59	50
11233223	77	68
11233231	75	92
11233232	91	78
11233233	75	80
11233311	58	72
11233312	91	78
11233313	76	60
11233321	79	77
11233322	80	83
11233323	90	65
11233331	57	49
11233332	83	55
11233333	59	37
11311111	46	22
11311112	79	40
11311113	64	34
11311121	97	49
11311122	98	67
11311123	108	61
11311131	66	45
11311132	92	63
11311133	68	57
11311211	81	72
11311212	104	90
11311213	97	84
11311221	87	84
11311222	78	66
11311223	96	84
11311231	84	95
11311232	100	94
11311233	84	92
11311311	50	66
11311312	83	84
11311313	68	72
11311321	81	89
11311322	82	95
11311323	92	77
11311331	49	61
11311332	75	67
11311333	51	49
11312111	67	33
11312112	100	51
11312113	85	45
11312121	116	60
11312122	117	78
11312123	127	72
11312131	85	56
11312132	111	74
11312133	87	68
11312211	89	83
11312212	112	82
11312213	105	95
11312221	93	73
11312222	84	55
11312223	102	73
11312231	90	101
11312232	106	83
11312233	90	91
11312311	66	77
11312312	99	89
11312313	84	71
11312321	95	88
11312322	96	94
11312323	106	76
11312331	63	60
11312332	89	66
11312333	65	48
11313111	70	35
11313112	103	53
11313113	88	47
11313121	119	62
11313122	120	80
11313123	130	74
11313131	88	58
11313132	114	76
11313133	90	70
11313211	99	85
11313212	122	94
11313213	115	97
11313221	103	85
11313222	94	67
11313223	112	85
11313231	100	91
11313232	116	95
11313233	100	79
11313311	67	71
11313312	100	77
11313313	85	59
11313321	96	76
11313322	97	82
11313323	107	64
11313331	64	48
11313332	90	54
11313333	66	36
11321111	61	40
11321112	94	58
11321113	79	52
11321121	112	67
11321122	113	85
11321123	123	79
11321131	81	63
11321132	107	81
11321133	83	75
11321211	88	90
11321212	111	75
11321213	104	93
11321221	94	66
11321222	85	48
11321223	103	66
11321231	91	94
11321232	107	76
11321233	91	94
11321311	62	84
11321312	95	92
11321313	80	74
11321321	93	91
11321322	94	91
11321323	104	79
11321331	61	63
11321332	87	69
11321333	63	51
11322111	58	51
11322112	91	69
11322113	76	63
11322121	107	78
11322122	108	87
11322123	118	90
11322131	76	74
11322132	102	92
11322133	78	86
11322211	72	82
11322212	95	64
11322213	88	82
11322221	76	55
11322222	67	37
11322223	85	55
11322231	73	83
11322232	89	65
11322233	73	83
11322311	54	85
11322312	87	91
11322313	72	73
11322321	83	90
11322322	84	80
11322323	94	78
11322331	51	62
11322332	77	68
11322333	53	50
11323111	67	53
11323112	100	71
11323113	85	65
11323121	116	80
11323122	117	98
11323123	127	92
11323131	85	76
11323132	111	94
11323133	87	82
11323211	88	94
11323212	111	76
11323213	104	94
11323221	92	67
11323222	83	49
11323223	101	67
11323231	89	93
11323232	105	77
11323233	89	81
11323311	61	73
11323312	94	79
11323313	79	61
11323321	90	78
11323322	91	84
11323323	101	66
11323331	58	50
11323332	84	56
11323333	60	38
11331111	65	41
11331112	98	59
11331113	83	53
11331121	116	68
11331122	117	86
11331123	127	80
11331131	85	64
11331132	111	82
11331133	87	74
11331211	97	91
11331212	120	96
11331213	113	96
11331221	103	87
11331222	94	69
11331223	112	87
11331231	100	85
11331232	116	91
11331233	100	73
11331311	57	65
11331312	90	71
11331313	75	53
11331321	88	70
11331322	89	76
11331323	99	58
11331331	56	42
11331332	82	48
11331333	58	30
11332111	68	52
11332112	101	70
11332113	86	64
11332121	117	79
11332122	118	97
11332123	128	91
11332131	86	75
11332132	112	91
11332133	88	73
11332211	87	102
11332212	110	85
11332213	103	95
11332221	91	76
11332222	82	58
11332223	100	76
11332231	88	84
11332232	104	86
11332233	88	72
11332311	55	64
11332312	88	70
11332313	73	52
11332321	84	69
11332322	85	75
11332323	95	57
11332331	52	41
11332332	78	47
11332333	54	29
11333111	49	54
11333112	82	72
11333113	67	66
11333121	98	81
11333122	99	99
11333123	109	89
11333131	67	73
11333132	93	79
11333133	69	61
11333211	75	95
11333212	98	97
11333213	91	83
11333221	79	88
11333222	70	70
11333223	88	88
11333231	76	72
11333232	92	78
11333233	76	60
11333311	34	52
11333312	67	58
11333313	52	40
11333321	63	57
11333322	64	63
11333323	74	45
11333331	31	29
11333332	57	35
11333333	33	17
12111111	28	6
12111112	57	24
12111113	45	18
12111121	69	33
12111122	66	51
12111123	79	45
12111131	54	29
12111132	76	47
12111133	55	41
12111211	86	56
12111212	105	74
12111213	101	68
12111221	82	81
12111222	69	63
12111223	90	81
12111231	95	79
12111232	107	91
12111233	94	91
12111311	67	50
12111312	96	68
12111313	84	62
12111321	88	77
12111322	85	95
12111323	98	89
12111331	72	73
12111332	94	91
12111333	73	74
12112111	52	17
12112112	81	35
12112113	69	29
12112121	91	44
12112122	88	62
12112123	101	56
12112131	76	40
12112132	98	58
12112133	77	52
12112211	97	67
12112212	116	79
12112213	112	79
12112221	91	70
12112222	78	52
12112223	99	70
12112231	104	90
12112232	116	80
12112233	103	98
12112311	86	61
12112312	115	79
12112313	103	73
12112321	105	88
12112322	102	95
12112323	115	100
12112331	89	84
12112332	111	91
12112333	90	73
12113111	55	19
12113112	84	37
12113113	72	31
12113121	94	46
12113122	91	64
12113123	104	58
12113131	79	42
12113132	101	60
12113133	80	54
12113211	107	69
12113212	126	87
12113213	122	81
12113221	101	82
12113222	88	64
12113223	109	82
12113231	114	92
12113232	126	92
12113233	113	104
12113311	87	63
12113312	116	81
12113313	104	75
12113321	106	90
12113322	103	107
12113323	116	89
12113331	90	73
12113332	112	79
12113333	91	61
12121111	50	24
12121112	79	42
12121113	67	36
12121121	91	51
12121122	88	69
12121123	101	63
12121131	76	47
12121132	98	65
12121133	77	59
12121211	100	74
12121212	119	72
12121213	115	86
12121221	96	63
12121222	83	45
12121223	104	63
12121231	109	91
12121232	121	73
12121233	108	91
12121311	86	68
12121312	115	86
12121313	103	80
12121321	107	95
12121322	104	88
12121323	117	104
12121331	91	88
12121332	113	94
12121333	92	76
12122111	50	35
12122112	79	53
12122113	67	47
12122121	89	62
12122122	86	80
12122123	99	74
12122131	74	58
12122132	96	76
12122133	75	70
12122211	87	79
12122212	106	61
12122213	102	79
12122221	81	52
12122222	68	34
12122223	89	52
12122231	94	80
12122232	106	62
12122233	93	80
12122311	81	79
12122312	110	97
12122313	98	91
12122321	100	95
12122322	97	77
12122323	110	95
12122331	84	87
12122332	106	93
12122333	85	75
12123111	59	37
12123112	88	55
12123113	76	49
12123121	98	64
12123122	95	82
12123123	108	76
12123131	83	60
12123132	105	78
12123133	84	72
12123211	103	87
12123212	122	73
12123213	118	91
12123221	97	64
12123222	84	46
12123223	105	64
12123231	110	92
12123232	122	74
12123233	109	92
12123311	88	81
12123312	117	99
12123313	105	86
12123321	107	103
12123322	104	89
12123323	117	91
12123331	91	75
12123332	113	81
12123333	92	63
12131111	61	25
12131112	90	43
12131113	78	37
12131121	102	52
12131122	99	70
12131123	112	64
12131131	87	48
12131132	109	66
12131133	88	60
12131211	116	75
12131212	135	93
12131213	131	87
12131221	112	84
12131222	99	66
12131223	120	84
12131231	125	98
12131232	137	94
12131233	124	98
12131311	88	69
12131312	117	87
12131313	105	78
12131321	109	95
12131322	106	101
12131323	119	83
12131331	93	67
12131332	115	73
12131333	94	55
12132111	67	36
12132112	96	54
12132113	84	48
12132121	106	63
12132122	103	81
12132123	116	75
12132131	91	59
12132132	113	77
12132133	92	71
12132211	109	86
12132212	128	82
12132213	124	98
12132221	103	73
12132222	90	55
12132223	111	73
12132231	116	101
12132232	128	83
12132233	115	97
12132311	89	80
12132312	118	95
12132313	106	77
12132321	108	94
12132322	105	98
12132323	118	82
12132331	92	66
12132332	114	72
12132333	93	54
12133111	48	38
12133112	77	56
12133113	65	50
12133121	87	65
12133122	84	83
12133123	97	77
12133131	72	61
12133132	94	79
12133133	73	73
12133211	97	88
12133212	116	94
12133213	112	100
12133221	91	85
12133222	78	67
12133223	99	85
12133231	104	97
12133232	116	95
12133233	103	85
12133311	68	77
12133312	97	83
12133313	85	65
12133321	87	82
12133322	84	88
12133323	97	70
12133331	71	54
12133332	93	60
12133333	72	42
12211111	61	29
12211112	90	47
12211113	78	41
12211121	87	56
12211122	84	74
12211123	97	68
12211131	79	52
12211132	101	70
12211133	80	64
12211211	72	79
12211212	91	67
12211213	87	85
12211221	53	58
12211222	40	40
12211223	61	58
12211231	73	86
12211232	85	68
12211233	72	86
12211311	71	73
12211312	100	91
12211313	88	85
12211321	77	100
12211322	74	83
12211323	87	100
12211331	68	84
12211332	90	90
12211333	69	72
12212111	78	40
12212112	107	58
12212113	95	52
12212121	102	67
12212122	99	79
12212123	112	79
12212131	94	63
12212132	116	81
12212133	95	75
12212211	76	74
12212212	95	56
12212213	91	74
12212221	55	47
12212222	42	29
12212223	63	47
12212231	75	75
12212232	87	57
12212233	74	75
12212311	83	84
12212312	112	99
12212313	100	94
12212321	87	90
12212322	84	72
12212323	97	90
12212331	78	83
12212332	100	89
12212333	79	71
12213111	85	42
12213112	114	60
12213113	102	54
12213121	109	69
12213122	106	87
12213123	119	81
12213131	101	65
12213132	123	83
12213133	102	77
12213211	90	86
12213212	109	68
12213213	105	86
12213221	69	59
12213222	56	41
12213223	77	59
12213231	89	87
12213232	101	69
12213233	88	87
12213311	88	86
12213312	117	100
12213313	105	82
12213321	92	99
12213322	89	84
12213323	102	87
12213331	83	71
12213332	105	77
12213333	84	59
12221111	71	47
12221112	100	65
12221113	88	59
12221121	97	74
12221122	94	72
12221123	107	86
12221131	89	70
12221132	111	88
12221133	90	82
12221211	74	67
12221212	93	49
12221213	89	67
12221221	55	40
12221222	42	22
12221223	63	40
12221231	75	68
12221232	87	50
12221233	74	68
12221311	78	91
12221312	107	92
12221313	95	97
12221321	84	83
12221322	81	65
12221323	94	83
12221331	75	86
12221332	97	92
12221333	76	74
12222111	64	58
12222112	93	76
12222113	81	70
12222121	88	79
12222122	85	61
12222123	98	79
12222131	80	81
12222132	102	89
12222133	81	93
12222211	54	56
12222212	73	38
12222213	69	56
12222221	33	29
12222222	20	11
12222223	41	29
12222231	53	57
12222232	65	39
12222233	52	57
12222311	66	99
12222312	95	81
12222313	83	96
12222321	70	72
12222322	67	54
12222323	80	72
12222331	61	85
12222332	83	82
12222333	62	73
12223111	77	60
12223112	106	78
12223113	94	72
12223121	101	87
12223122	98	73
12223123	111	91
12223131	93	83
12223132	115	101
12223133	94	95
12223211	74	68
12223212	93	50
12223213	89	68
12223221	53	41
12223222	40	23
12223223	61	41
12223231	73	69
12223232	85	51
12223233	72	69
12223311	77	96
12223312	106	93
12223313	94	84
12223321	81	84
12223322	78	66
12223323	91	84
12223331	72	73
12223332	94	79
12223333	73	61
12231111	87	48
12231112	116	66
12231113	104	60
12231121	113	75
12231122	110	93
12231123	123	87
12231131	105	71
12231132	127	89
12231133	106	83
12231211	95	88
12231212	114	70
12231213	110	88
12231221	76	61
12231222	63	43
12231223	84	61
12231231	96	89
12231232	108	71
12231233	95	89
12231311	85	88
12231312	114	94
12231313	102	76
12231321	91	93
12231322	88	86
12231323	101	81
12231331	82	65
12231332	104	71
12231333	83	53
12232111	86	59
12232112	115	77
12232113	103	71
12232121	110	86
12232122	107	82
12232123	120	98
12232131	102	82
12232132	124	100
12232133	103	94
12232211	81	77
12232212	100	59
12232213	96	77
12232221	60	50
12232222	47	32
12232223	68	50
12232231	80	78
12232232	92	60
12232233	79	78
12232311	79	87
12232312	108	93
12232313	96	75
12232321	83	92
12232322	80	75
12232323	93	80
12232331	74	64
12232332	96	70
12232333	75	52
12233111	71	61
12233112	100	79
12233113	88	73
12233121	95	88
12233122	92	94
12233123	105	100
12233131	87	84
12233132	109	102
12233133	88	84
12233211	73	89
12233212	92	71
12233213	88	89
12233221	52	62
12233222	39	44
12233223	60	62
12233231	72	90
12233232	84	72
12233233	71	83
12233311	62	75
12233312	91	81
12233313	79	63
12233321	66	80
12233322	63	86
12233323	76	68
12233331	57	52
12233332	79	58
12233333	58	40
12311111	68	28
12311112	97	46
12311113	85	40
12311121	102	55
12311122	99	73
12311123	112	67
12311131	84	51
12311132	106	69
12311133	85	63
12311211	98	78
12311212	117	87
12311213	113	90
12311221	87	78
12311222	74	60
12311223	95	78
12311231	97	101
12311232	109	88
12311233	96	95
12311311	70	72
12311312	99	90
12311313	87	75
12311321	84	92
12311322	81	98
12311323	94	80
12311331	65	64
12311332	87	70
12311333	66	52
12312111	89	39
12312112	118	57
12312113	106	51
12312121	121	66
12312122	118	84
12312123	131	78
12312131	103	62
12312132	125	80
12312133	104	74
12312211	106	89
12312212	125	76
12312213	121	94
12312221	93	67
12312222	80	49
12312223	101	67
12312231	103	95
12312232	115	77
12312233	102	94
12312311	86	83
12312312	115	92
12312313	103	74
12312321	98	91
12312322	95	92
12312323	108	79
12312331	79	63
12312332	101	69
12312333	80	51
12313111	92	41
12313112	121	59
12313113	109	53
12313121	124	68
12313122	121	86
12313123	134	80
12313131	106	64
12313132	128	82
12313133	107	76
12313211	116	91
12313212	135	88
12313213	131	103
12313221	103	79
12313222	90	61
12313223	111	79
12313231	113	94
12313232	125	89
12313233	112	82
12313311	87	74
12313312	116	80
12313313	104	62
12313321	99	79
12313322	96	85
12313323	109	67
12313331	80	51
12313332	102	57
12313333	81	39
12321111	83	46
12321112	112	64
12321113	100	58
12321121	117	73
12321122	114	91
12321123	127	85
12321131	99	69
12321132	121	87
12321133	100	81
12321211	105	87
12321212	124	69
12321213	120	87
12321221	94	60
12321222	81	42
12321223	102	60
12321231	104	88
12321232	116	70
12321233	103	88
12321311	82	89
12321312	111	95
12321313	99	77
12321321	96	94
12321322	93	85
12321323	106	82
12321331	77	66
12321332	99	72
12321333	78	54
12322111	80	57
12322112	109	75
12322113	97	69
12322121	112	84
12322122	109	81
12322123	122	96
12322131	94	80
12322132	116	98
12322133	95	92
12322211	89	76
12322212	108	58
12322213	104	76
12322221	76	49
12322222	63	31
12322223	84	49
12322231	86	77
12322232	98	59
12322233	85	77
12322311	74	88
12322312	103	94
12322313	91	76
12322321	86	92
12322322	83	74
12322323	96	81
12322331	67	65
12322332	89	71
12322333	68	53
12323111	89	59
12323112	118	77
12323113	106	71
12323121	121	86
12323122	118	93
12323123	131	98
12323131	103	82
12323132	125	100
12323133	104	85
12323211	105	88
12323212	124	70
12323213	120	88
12323221	92	61
12323222	79	43
12323223	100	61
12323231	102	89
12323232	114	71
12323233	101	84
12323311	81	76
12323312	110	82
12323313	98	64
12323321	93	81
12323322	90	86
12323323	103	69
12323331	74	53
12323332	96	59
12323333	75	41
12331111	87	47
12331112	116	65
12331113	104	59
12331121	121	74
12331122	118	92
12331123	131	86
12331131	103	70
12331132	125	88
12331133	104	77
12331211	114	97
12331212	133	90
12331213	129	99
12331221	103	81
12331222	90	63
12331223	111	81
12331231	113	88
12331232	125	91
12331233	112	76
12331311	77	68
12331312	106	74
12331313	94	56
12331321	91	73
12331322	88	79
12331323	101	61
12331331	72	45
12331332	94	51
12331333	73	33
12332111	90	58
12332112	119	76
12332113	107	70
12332121	122	85
12332122	119	102
12332123	132	97
12332131	104	81
12332132	126	94
12332133	105	76
12332211	104	97
12332212	123	79
12332213	119	97
12332221	91	70
12332222	78	52
12332223	99	70
12332231	101	87
12332232	113	80
12332233	100	75
12332311	75	67
12332312	104	73
12332313	92	55
12332321	87	72
12332322	84	78
12332323	97	60
12332331	68	44
12332332	90	50
12332333	69	32
12333111	71	60
12333112	100	78
12333113	88	72
12333121	103	87
12333122	100	105
12333123	113	92
12333131	85	76
12333132	107	82
12333133	86	64
12333211	92	98
12333212	111	91
12333213	107	86
12333221	79	82
12333222	66	64
12333223	87	82
12333231	89	75
12333232	101	81
12333233	88	63
12333311	54	55
12333312	83	61
12333313	71	43
12333321	66	60
12333322	63	66
12333323	76	48
12333331	47	32
12333332	69	38
12333333	48	20
13111111	23	5
13111112	56	23
13111113	37	17
13111121	80	32
13111122	81	50
13111123	87	44
13111131	41	28
13111132	67	46
13111133	39	40
13111211	84	55
13111212	107	73
13111213	96	67
13111221	96	82
13111222	87	71
13111223	101	89
13111231	85	78
13111232	101	96
13111233	81	90
13111311	59	49
13111312	92	67
13111313	73	61
13111321	96	76
13111322	97	94
13111323	103	88
13111331	56	72
13111332	82	84
13111333	54	66
13112111	47	16
13112112	80	34
13112113	61	28
13112121	102	43
13112122	103	61
13112123	109	55
13112131	63	39
13112132	89	57
13112133	61	51
13112211	95	66
13112212	118	84
13112213	107	78
13112221	105	78
13112222	96	60
13112223	110	78
13112231	94	89
13112232	110	88
13112233	90	101
13112311	78	60
13112312	111	78
13112313	92	72
13112321	113	87
13112322	114	103
13112323	120	93
13112331	73	77
13112332	99	83
13112333	71	65
13113111	50	18
13113112	83	36
13113113	64	30
13113121	105	45
13113122	106	63
13113123	112	57
13113131	66	41
13113132	92	59
13113133	64	53
13113211	105	68
13113212	128	86
13113213	117	80
13113221	115	90
13113222	106	72
13113223	120	90
13113231	104	91
13113232	120	100
13113233	100	96
13113311	79	62
13113312	112	80
13113313	93	74
13113321	114	89
13113322	115	99
13113323	121	81
13113331	74	65
13113332	100	71
13113333	72	53
13121111	45	23
13121112	78	41
13121113	59	35
13121121	102	50
13121122	103	68
13121123	109	62
13121131	63	46
13121132	89	64
13121133	61	58
13121211	98	73
13121212	121	80
13121213	110	85
13121221	110	71
13121222	101	53
13121223	115	71
13121231	99	96
13121232	115	81
13121233	95	99
13121311	78	67
13121312	111	85
13121313	92	79
13121321	115	94
13121322	116	96
13121323	122	96
13121331	75	80
13121332	101	86
13121333	73	68
13122111	45	34
13122112	78	52
13122113	59	46
13122121	100	61
13122122	101	79
13122123	107	73
13122131	61	57
13122132	87	75
13122133	59	69
13122211	85	84
13122212	108	69
13122213	97	87
13122221	95	60
13122222	86	42
13122223	100	60
13122231	84	88
13122232	100	70
13122233	80	88
13122311	73	78
13122312	106	96
13122313	87	90
13122321	108	103
13122322	109	85
13122323	115	95
13122331	68	79
13122332	94	85
13122333	66	67
13123111	54	36
13123112	87	54
13123113	68	48
13123121	109	63
13123122	110	81
13123123	116	75
13123131	70	59
13123132	96	77
13123133	68	71
13123211	101	86
13123212	124	81
13123213	113	98
13123221	111	72
13123222	102	54
13123223	116	72
13123231	100	100
13123232	116	82
13123233	96	98
13123311	80	80
13123312	113	96
13123313	94	78
13123321	115	95
13123322	116	97
13123323	122	83
13123331	75	67
13123332	101	73
13123333	73	55
13131111	56	24
13131112	89	42
13131113	70	36
13131121	113	51
13131122	114	69
13131123	120	63
13131131	74	47
13131132	100	65
13131133	72	59
13131211	114	74
13131212	137	92
13131213	126	86
13131221	126	92
13131222	117	74
13131223	131	92
13131231	115	97
13131232	131	102
13131233	111	90
13131311	80	68
13131312	113	86
13131313	94	70
13131321	117	87
13131322	118	93
13131323	124	75
13131331	77	59
13131332	103	65
13131333	75	47
13132111	62	35
13132112	95	53
13132113	76	47
13132121	117	62
13132122	118	80
13132123	124	74
13132131	78	58
13132132	104	76
13132133	76	70
13132211	107	85
13132212	130	90
13132213	119	97
13132221	117	81
13132222	108	63
13132223	122	81
13132231	106	101
13132232	122	91
13132233	102	89
13132311	81	79
13132312	114	87
13132313	95	69
13132321	116	86
13132322	117	92
13132323	123	74
13132331	76	58
13132332	102	64
13132333	74	46
13133111	43	37
13133112	76	55
13133113	57	49
13133121	98	64
13133122	99	82
13133123	105	76
13133131	59	60
13133132	85	78
13133133	57	72
13133211	95	87
13133212	118	102
13133213	107	99
13133221	105	93
13133222	96	75
13133223	110	93
13133231	94	89
13133232	110	95
13133233	90	77
13133311	60	69
13133312	93	75
13133313	74	57
13133321	95	74
13133322	96	80
13133323	102	62
13133331	55	46
13133332	81	52
13133333	53	34
13211111	71	28
13211112	104	46
13211113	85	40
13211121	113	55
13211122	114	73
13211123	120	67
13211131	81	51
13211132	107	69
13211133	79	63
13211211	85	78
13211212	108	75
13211213	97	90
13211221	82	66
13211222	73	48
13211223	87	66
13211231	78	94
13211232	94	76
13211233	74	94
13211311	78	72
13211312	111	90
13211313	92	84
13211321	100	99
13211322	101	91
13211323	107	92
13211331	67	76
13211332	93	82
13211333	65	64
13212111	88	39
13212112	121	57
13212113	102	51
13212121	128	66
13212122	129	84
13212123	135	78
13212131	96	62
13212132	122	80
13212133	94	74
13212211	89	82
13212212	112	64
13212213	101	82
13212221	84	55
13212222	75	37
13212223	89	55
13212231	80	83
13212232	96	65
13212233	76	83
13212311	90	83
