# <E>	<m>	crossover points
75.9750	72.6150	21 95 113 134 169 209 240 
75.0500	73.9800	19 49 94 115 146 173 229 
81.7950	67.3400	19 33 49 66 80 96 209 
79.6700	68.3900	17 29 39 103 181 230 253 
79.9350	69.9350	11 27 58 113 130 184 251 
82.8050	76.3150	25 37 69 113 173 220 251 
84.9850	69.0300	51 69 180 194 210 225 251 
72.1050	60.8400	16 34 67 95 113 240 253 
81.2500	70.7350	71 116 149 183 214 235 250 
86.7000	65.2950	61 72 179 199 226 238 252 
85.2700	64.7950	88 99 122 166 218 234 249 
80.3050	70.9150	14 26 71 102 123 143 206 
69.2000	63.4150	15 29 52 71 98 148 170 
86.1150	69.3500	22 50 61 81 96 190 218 
73.3350	73.9900	21 43 67 92 166 180 239 
82.4050	73.4700	26 71 130 166 184 199 238 
85.6300	67.1150	11 32 50 84 102 223 235 
78.4300	55.0850	17 37 58 195 214 233 250 
71.4150	50.1750	133 159 176 188 206 235 251 
65.0600	63.2150	30 47 63 95 125 147 166 
88.2700	71.8400	14 62 74 115 186 227 244 
71.7900	63.4500	11 34 58 74 110 147 173 
82.2150	67.0850	11 98 122 164 209 233 253 
88.9500	60.5350	11 30 52 64 81 221 246 
81.2150	72.7350	66 91 122 143 191 214 247 
74.2850	61.2100	34 52 69 194 218 233 254 
77.1650	62.4450	28 38 159 189 210 225 246 
75.6000	62.3050	29 135 159 179 194 226 244 
69.8100	68.9600	21 36 62 134 170 241 254 
61.3050	57.7450	23 37 52 70 96 116 146 
79.4400	66.8900	13 25 104 149 175 198 244 
74.2400	63.3350	23 35 50 91 115 135 252 
63.8950	68.7400	16 29 42 64 113 134 184 
84.8700	65.4200	11 67 81 104 219 239 252 
87.2300	67.8150	11 32 84 113 220 234 253 
74.3800	63.7400	47 168 180 192 210 230 252 
72.2950	57.4550	19 33 168 180 209 232 247 
96.3550	68.9700	13 73 179 203 219 230 245 
85.8850	69.3050	14 38 102 186 198 218 234 
88.0400	74.0050	31 78 148 168 187 214 229 
76.6300	63.4700	21 130 159 190 215 227 244 
81.5450	70.8950	19 43 96 181 194 226 239 
78.0700	66.6500	15 28 44 64 101 133 228 
86.8400	70.1450	11 25 59 71 129 225 244 
84.2350	68.4650	79 130 169 191 215 233 254 
78.0900	61.7950	99 125 146 199 226 236 251 
74.0650	68.2300	21 39 75 94 127 164 249 
67.8150	54.5350	19 30 50 73 90 112 128 
72.0750	73.4650	28 54 113 143 169 183 252 
78.8500	73.9200	22 38 72 123 161 179 251 
85.3750	65.4200	21 33 73 91 207 223 250 
75.8950	59.0450	16 29 42 60 188 240 252 
88.2750	67.4700	25 38 91 198 217 233 249 
73.3500	58.2150	16 31 49 179 228 239 254 
76.0550	54.7350	14 30 54 73 91 238 254 
79.5100	54.3450	24 34 50 66 214 230 251 
76.3750	66.7100	19 32 58 70 129 238 251 
77.6300	71.0450	35 113 147 179 194 231 250 
75.0150	70.3650	25 49 62 72 112 129 194 
86.0550	73.8600	34 78 152 177 210 225 243 
82.6550	64.1000	14 29 39 57 67 80 205 
88.1250	71.3350	25 36 61 90 103 159 230 
85.5150	70.5400	11 25 39 60 149 178 221 
79.7900	62.9300	17 30 53 71 87 110 234 
84.9750	67.9850	11 34 50 63 74 179 249 
85.1850	74.9950	26 71 117 187 199 232 249 
78.9900	68.8600	62 78 101 121 140 224 235 
66.2600	64.4300	17 33 53 67 143 240 254 
93.6200	71.8050	23 90 143 180 194 228 251 
77.9400	70.4400	11 26 44 59 90 175 188 
85.3750	74.2150	27 43 91 173 187 217 253 
82.5000	74.6400	34 66 80 125 159 215 239 
83.1300	66.7000	13 29 88 101 122 238 252 
69.9100	70.4150	30 50 113 135 168 180 196 
81.9600	76.4800	21 53 87 121 157 207 238 
67.4950	68.3400	11 33 47 62 99 123 187 
89.6000	67.6650	16 31 51 62 88 205 251 
71.3600	70.9100	42 64 80 122 140 173 253 
72.9400	71.8050	31 57 70 88 103 169 191 
91.1650	71.6500	11 27 78 148 209 232 254 
75.5400	71.3500	22 34 50 70 102 143 229 
81.1700	72.9400	23 42 59 89 101 149 199 
80.0050	64.9100	91 122 161 184 198 238 250 
74.8500	60.2450	15 27 57 67 79 96 157 
84.4600	71.2800	22 87 112 157 225 236 250 
76.0900	68.0800	16 29 51 62 89 161 183 
79.8700	69.7000	13 26 47 65 112 218 253 
73.8800	63.6500	15 35 50 69 97 116 233 
78.8700	73.3700	21 33 101 157 175 199 233 
83.4300	71.4950	23 37 96 181 224 238 250 
74.4900	68.1150	16 31 50 61 91 116 186 
73.2000	59.6750	39 61 74 94 226 238 251 
82.3800	64.4250	90 110 140 166 183 205 235 
96.2850	71.9950	15 29 60 80 173 225 246 
67.2750	53.1950	11 27 42 65 79 112 128 
80.9750	69.3950	22 37 59 69 129 229 244 
76.9350	55.6750	13 28 163 178 196 218 249 
88.9100	66.6900	17 30 58 95 207 231 252 
92.7050	70.4100	23 92 176 189 206 227 249 
85.8100	72.8100	24 94 117 143 169 207 230 
85.7000	71.4100	13 25 98 117 169 199 249 
85.9600	67.5550	11 57 91 199 226 240 253 
85.9800	70.6800	17 90 115 134 177 203 253 
74.9400	56.7350	113 143 170 186 209 230 245 
87.3050	75.5700	35 80 104 130 190 228 244 
85.0250	74.2500	23 65 103 146 214 231 253 
90.1750	72.4600	65 75 92 123 206 228 246 
66.6850	60.7800	21 32 44 70 89 102 161 
61.9650	54.2950	19 31 57 69 92 113 130 
82.6300	70.1650	11 72 96 121 150 198 236 
80.4700	63.4950	27 38 54 65 188 207 229 
71.1850	68.8250	19 33 51 87 140 170 183 
77.2100	61.6700	21 32 53 180 220 240 252 
83.2150	59.2600	103 129 180 198 223 233 251 
73.8600	69.7550	11 43 62 78 121 146 233 
73.3450	46.6000	13 27 44 58 69 238 251 
82.8300	71.5950	49 97 181 203 227 243 254 
84.6350	74.3600	23 50 64 96 175 227 245 
70.6400	57.7900	14 31 49 64 78 94 135 
69.1800	56.9100	24 36 59 81 98 121 140 
87.1800	76.6650	17 32 68 97 173 199 225 
70.0850	53.5850	21 33 47 59 84 110 129 
91.3000	74.8600	22 73 103 175 209 225 250 
68.7450	64.3750	16 29 39 55 66 94 176 
65.8050	55.0300	23 34 51 68 80 110 135 
76.7750	55.5800	123 149 180 192 220 231 246 
77.2250	72.8000	55 78 92 112 161 183 199 
82.7400	63.6100	94 110 161 178 199 226 240 
86.5600	74.3400	15 58 97 121 152 221 247 
73.9900	54.9850	14 27 169 187 199 224 238 
80.7450	68.4100	14 54 65 79 176 236 253 
78.4600	68.5800	11 28 74 97 115 164 196 
91.9400	71.5300	16 59 102 186 214 230 245 
72.9900	74.9700	23 43 63 103 125 168 210 
78.1150	69.1600	29 44 129 203 219 233 254 
71.7150	50.0850	17 163 178 192 217 232 251 
82.6600	73.7850	58 96 116 178 220 235 254 
74.9400	61.5200	14 32 148 207 223 235 252 
81.1150	68.3400	13 26 96 121 150 180 247 
75.5850	55.6150	127 152 175 188 215 228 251 
75.3100	55.5200	11 134 180 196 221 233 250 
69.7250	64.0450	11 33 49 62 72 92 170 
73.7300	58.9300	16 34 53 183 219 234 254 
78.7450	64.0050	13 25 47 91 103 128 246 
78.3850	74.7350	23 47 92 146 175 188 244 
80.0700	66.1250	16 98 123 187 228 241 253 
96.7400	69.9500	11 25 84 179 196 230 251 
75.5200	68.5900	24 38 112 140 223 234 247 
77.0650	74.7100	26 39 54 70 133 196 243 
85.6250	72.2400	31 52 94 173 205 220 232 
75.3400	61.9900	91 122 149 176 189 240 253 
69.6750	49.7450	140 169 183 195 221 240 254 
82.9900	63.6850	11 31 50 61 181 239 251 
80.0000	72.4800	24 62 102 122 161 176 198 
77.6050	75.8550	51 78 128 148 175 191 246 
80.6950	71.5300	11 25 57 125 183 195 218 
74.2650	74.2800	36 95 117 140 184 207 223 
85.0150	74.9100	36 80 128 152 173 198 245 
86.2650	74.8200	24 61 73 101 125 192 234 
87.9400	64.9400	21 31 78 196 223 233 249 
71.5000	68.2050	42 66 168 190 210 238 254 
85.0200	67.6850	14 26 43 61 148 227 247 
76.8550	70.7550	19 30 73 117 166 238 251 
85.7450	75.7450	34 62 87 127 192 221 232 
82.7500	59.4950	15 27 42 59 188 225 244 
74.3600	68.2100	52 69 81 101 157 239 252 
91.4150	70.4900	26 88 112 179 228 239 253 
85.4350	72.9050	14 26 68 129 188 228 249 
86.2100	73.5100	14 36 96 159 219 230 253 
72.7250	67.2300	15 30 55 67 90 148 189 
88.2150	70.4200	26 42 79 175 198 218 232 
84.4400	70.4100	15 27 68 80 173 186 236 
87.8850	70.4050	61 73 89 184 206 235 253 
84.8050	72.4950	22 67 135 198 223 233 250 
85.7750	73.1600	55 70 92 186 199 220 247 
78.8600	68.9250	43 59 89 110 130 163 249 
69.8150	70.0600	22 39 94 115 130 172 253 
72.4200	66.2550	22 32 125 173 220 234 249 
74.8900	71.3900	55 130 159 184 209 225 240 
69.5800	62.3800	49 164 178 198 225 235 251 
81.0950	64.9200	13 31 47 103 217 235 250 
79.2950	67.7100	15 27 113 148 173 205 245 
78.7000	62.4200	91 127 150 194 217 238 251 
68.1700	52.9500	19 34 181 195 219 233 254 
75.8550	66.5300	11 29 39 146 205 226 251 
73.7750	67.5750	22 32 122 147 173 214 239 
82.6350	60.9250	21 34 61 71 199 224 238 
83.7450	68.0300	73 102 133 173 186 207 235 
82.7500	74.5950	35 92 147 186 205 224 238 
77.9750	56.2400	23 42 57 70 214 228 243 
85.9050	65.7200	88 113 190 206 225 238 254 
87.2350	66.2050	14 29 42 66 181 214 229 
74.1700	66.8850	42 58 68 84 97 123 233 
73.8900	72.3150	19 57 117 140 173 236 252 
80.9250	71.0300	32 94 169 187 207 223 239 
78.3250	70.8400	23 44 78 127 163 178 252 
87.6650	72.2250	11 25 72 122 180 198 223 
75.2800	66.1700	11 32 79 96 128 161 180 
80.1200	75.1700	16 30 67 127 175 210 235 
64.6950	69.8850	16 34 49 122 148 169 235 
72.0950	68.9450	34 52 75 134 159 175 253 
76.4050	68.5650	11 28 47 113 192 209 251 
78.1900	66.8800	11 29 50 71 122 232 253 
78.6800	67.3350	74 96 121 135 225 236 254 
89.5700	71.1200	15 28 89 113 134 217 240 
88.7250	70.7650	64 102 180 195 214 227 247 
84.4700	67.3850	25 101 128 198 225 241 253 
71.8500	67.7400	24 42 55 123 230 241 253 
75.9950	65.5900	79 103 123 146 168 235 251 
80.6550	67.3100	84 102 130 172 188 238 253 
87.3350	66.9900	79 152 180 192 215 236 250 
76.0000	58.4600	103 130 152 206 221 233 254 
73.8800	66.7250	19 31 43 147 210 234 250 
84.4250	71.1700	62 73 94 123 146 205 247 
77.6800	56.2050	17 32 49 67 215 236 249 
65.5850	52.3300	11 25 39 62 73 89 127 
83.9300	66.5150	13 38 62 80 103 130 240 
83.0650	73.6150	49 79 96 140 161 179 230 
83.3950	72.8300	15 32 53 70 163 230 247 
85.7400	71.3500	24 34 60 74 110 172 249 
74.1300	71.4750	11 32 44 59 115 161 196 
71.2100	63.1550	17 43 67 90 134 157 252 
82.1850	68.1050	24 36 55 67 81 122 231 
79.9050	70.3550	13 25 50 74 110 128 217 
81.1600	75.5850	50 63 78 116 140 183 229 
72.6000	53.5100	123 143 187 217 230 241 253 
81.6300	70.0950	70 84 101 128 163 188 227 
86.3950	74.5200	29 59 103 175 188 214 243 
75.5900	57.2200	14 30 63 74 92 123 254 
72.3050	73.6400	34 51 101 157 192 240 254 
78.3450	69.2300	14 35 113 129 157 178 232 
73.9650	66.7550	19 30 47 63 74 91 183 
82.5250	72.1250	19 34 60 73 121 188 240 
66.3000	70.2450	50 130 159 175 191 217 244 
66.4900	66.8400	22 34 51 70 95 161 177 
87.7650	72.9250	17 81 157 188 224 238 253 
89.4500	66.2400	11 27 75 190 224 235 251 
81.4750	68.6850	16 30 47 62 98 210 254 
67.5750	68.0550	36 121 150 209 224 240 252 
75.5000	62.7700	92 130 161 184 196 240 254 
67.2750	70.3500	21 52 72 103 123 146 194 
71.1350	47.0500	11 170 183 196 219 235 247 
82.7250	76.6300	21 53 78 92 163 210 251 
85.9300	63.7450	11 27 72 89 112 230 254 
86.2550	75.2950	57 84 115 148 196 234 249 
89.2100	77.0650	29 47 67 88 113 177 219 
70.3450	72.4450	51 130 166 181 225 235 250 
72.5300	73.6550	13 38 54 71 127 192 241 
76.8700	64.5800	28 117 134 195 229 241 253 
67.0850	70.2450	53 71 87 113 140 180 194 
81.5200	69.2100	31 113 184 203 230 241 253 
77.0750	68.3300	66 152 184 196 217 238 252 
78.4200	67.8850	11 24 49 75 168 241 253 
80.9550	60.9300	17 31 43 58 181 221 253 
72.5700	60.5750	24 57 69 89 103 133 253 
85.2400	73.6400	35 55 78 135 195 221 245 
62.2550	70.8000	16 54 69 117 135 173 194 
87.5700	68.4050	23 95 168 198 219 234 247 
83.6250	73.8350	11 25 64 91 113 157 226 
85.2750	60.9700	25 54 176 198 219 230 251 
82.7950	69.1600	57 157 181 196 217 229 252 
88.4900	74.7150	30 44 63 97 176 188 229 
80.2050	72.7750	52 63 117 183 215 233 253 
87.5700	72.1350	13 75 97 128 172 209 250 
83.4300	70.9150	62 112 146 183 203 228 254 
74.4050	74.2750	47 121 159 186 206 229 252 
70.0700	61.9850	19 36 161 176 189 226 247 
88.5300	65.9400	16 28 50 74 179 231 243 
90.7200	73.8250	11 61 95 178 198 217 253 
91.8750	72.0200	14 26 62 80 169 210 225 
68.4650	61.4600	17 36 164 196 223 235 251 
79.8000	65.1300	81 96 135 161 209 241 253 
66.8300	72.6700	39 123 143 172 225 241 254 
92.4900	73.8400	15 27 61 89 159 209 250 
81.5150	73.0550	15 28 38 64 112 175 223 
81.3500	74.1200	37 73 90 104 148 219 253 
71.4500	54.6700	24 161 184 196 223 235 247 
67.6350	66.4250	14 27 51 133 152 172 223 
79.1300	75.1850	25 44 63 95 169 220 238 
66.9400	52.6450	122 150 175 194 217 241 254 
79.3600	56.8750	23 36 59 194 221 239 251 
77.9150	73.2850	15 27 49 68 101 161 207 
95.6250	69.8150	30 64 80 104 198 230 241 
79.1700	69.7500	23 74 97 115 140 169 250 
79.7250	75.2400	24 47 72 94 168 196 251 
86.6300	76.3550	36 81 96 143 170 217 228 
84.5900	68.8200	11 65 170 191 209 232 245 
82.8150	70.4700	68 102 148 186 198 225 244 
69.0050	55.9450	19 30 172 195 221 234 252 
81.9500	69.2550	64 92 115 198 221 241 253 
82.7400	58.6650	17 30 43 63 74 96 235 
75.0300	58.3250	25 42 61 72 90 115 243 
62.7000	64.3550	15 28 39 57 127 161 176 
73.4750	58.7600	15 28 49 63 80 96 152 
79.6550	69.2950	13 25 43 65 80 135 240 
85.1100	60.0600	22 36 60 190 218 240 254 
84.0100	62.6300	23 38 73 194 210 226 244 
77.0200	57.6200	14 26 159 206 226 240 253 
90.8600	68.2750	87 169 183 195 217 232 249 
89.9100	72.3300	23 36 79 104 183 205 221 
82.6500	73.9950	27 52 116 186 214 231 243 
64.4300	62.7700	33 55 78 99 121 140 170 
78.9200	64.2400	94 113 152 180 194 233 253 
88.2450	77.0550	23 60 117 164 195 232 246 
73.8450	57.0450	115 148 170 184 209 224 250 
93.5700	67.8750	26 63 89 198 225 236 253 
68.7550	53.7950	13 27 37 53 68 87 129 
57.2050	58.9450	24 34 50 69 115 134 159 
84.7700	71.3800	17 38 61 71 129 227 247 
78.1250	73.0900	69 88 150 170 186 240 252 
82.2500	72.3700	33 78 95 128 169 184 206 
62.1050	68.3250	14 29 42 134 157 184 196 
94.4150	68.4200	14 66 88 190 210 227 243 
87.8700	74.2300	21 32 58 101 135 198 224 
71.0400	70.5000	15 35 50 68 95 169 252 
83.5900	67.8600	74 91 110 146 194 230 249 
72.2200	69.3500	13 31 43 78 92 166 194 
78.8650	72.6900	21 44 65 143 187 209 229 
74.0300	68.2950	11 25 55 71 97 177 192 
74.9950	71.4200	62 116 146 175 209 235 253 
75.6150	64.7750	11 27 116 188 221 238 254 
81.0550	71.2800	62 90 122 150 175 233 251 
85.0400	63.1450	16 35 54 79 209 225 243 
68.4400	71.5800	23 53 68 102 159 180 192 
88.9900	71.6600	28 47 61 134 203 230 243 
81.0500	66.7150	17 99 123 157 194 224 246 
91.2400	65.8850	19 37 79 96 206 230 250 
84.6150	71.1050	27 51 65 122 207 226 247 
85.0750	52.1600	11 28 43 61 74 228 245 
82.4750	69.0100	11 50 78 95 135 230 241 
